source,source_txn_id,order_id,customer_id,merchant_id,amount,timestamp,payment_method,transaction_type,status
GATEWAY,PAY_b02b61c4-a3d7-4628-ace6-6fa2fd5166e6,ORD_1,CUS_15,MER_82,259.86,2026-08-25 23:45:00.261603,NET_BANKING,REFUND,SUCCESS
GATEWAY,PAY_5304317f-af42-412f-b838-b3268e944239,ORD_2,CUS_18,MER_29,7367.35,2026-08-07 13:22:13.877537,UPI,DEPOSIT,SUCCESS
GATEWAY,PAY_0e51f30d-c6a7-4e39-84b0-32ccd7c524a5,ORD_3,CUS_5,MER_55,307.67,2026-08-15 01:23:01.993213,CARD,REFUND,SUCCESS
GATEWAY,PAY_ce177b4e-0837-48a3-9261-a7ab3aa2e4f9,ORD_4,CUS_78,MER_65,275.09,2026-08-13 12:04:28.233282,CARD,DEPOSIT,SUCCESS
GATEWAY,PAY_10f1bc81-448a-4a9e-a6b2-bc5b50c187fc,ORD_5,CUS_29,MER_54,4497.6,2026-08-28 21:37:19.387113,NET_BANKING,PAYMENT,SUCCESS
GATEWAY,PAY_9132b63e-f162-47e4-a9c3-49e03602f8ac,ORD_6,CUS_21,MER_98,6984.41,2026-08-27 02:35:11.071400,NET_BANKING,TRANSFER,SUCCESS
GATEWAY,PAY_366eb16f-508e-4ad7-b7c9-3acfe059a0ee,ORD_7,CUS_28,MER_20,9572.56,2026-09-02 13:43:55.439491,NET_BANKING,PAYMENT,SUCCESS
GATEWAY,PAY_e27a984d-6548-41d0-bfcd-9eb1a7cad415,ORD_8,CUS_49,MER_12,976.2,2026-08-09 09:57:31.454175,NET_BANKING,DEPOSIT,SUCCESS
GATEWAY,PAY_24933b83-7577-40a9-a491-f0b2ea1fca65,ORD_9,CUS_6,MER_34,7300.02,2026-08-19 11:08:47.356624,UPI,WITHDRAWAL,SUCCESS
GATEWAY,PAY_beb79919-3f22-4af8-a3be-d01d43cf2fde,ORD_10,CUS_71,MER_11,2938.85,2026-08-07 16:49:00.392783,NET_BANKING,DEPOSIT,SUCCESS
GATEWAY,PAY_bf3c4c06-4343-48bc-89fa-6a688fb5d27b,ORD_11,CUS_91,MER_25,704.86,2026-08-13 08:46:55.630691,DEBIT_CARD,TRANSFER,SUCCESS
GATEWAY,PAY_956269f0-e5d7-4875-adad-d6c795a76d79,ORD_12,CUS_30,MER_11,8666.17,2026-08-21 23:13:06.906764,E_WALLET,TRANSFER,SUCCESS
GATEWAY,PAY_ff50bde4-3825-47b8-9cab-cc97663f1c97,ORD_13,CUS_82,MER_59,8342.76,2026-08-07 14:28:07.233421,CARD,TRANSFER,SUCCESS
GATEWAY,PAY_dc713d96-0c0f-4195-817a-f08a1745d6d8,ORD_15,CUS_22,MER_82,5346.06,2026-08-26 07:16:46.462724,CARD,REFUND,SUCCESS
GATEWAY,PAY_28f49481-a0a0-4dc4-a720-9bdf1c11f735,ORD_16,CUS_49,MER_60,2706.78,2026-08-23 03:43:14.317724,CARD,TRANSFER,SUCCESS
GATEWAY,PAY_98ae4334-6c12-4ce8-ae34-0454cac5b68c,ORD_17,CUS_100,MER_99,568.82,2026-08-13 10:04:48.092330,UPI,TRANSFER,SUCCESS
GATEWAY,PAY_988c24c9-61b1-4d22-a280-1c4510435a10,ORD_18,CUS_35,MER_52,671.22,2026-08-24 11:38:02.652606,NET_BANKING,REFUND,SUCCESS
GATEWAY,PAY_405cacec-8774-49a9-b7d2-1e02ff01cf99,ORD_19,CUS_64,MER_84,3962.36,2026-08-31 02:09:09.743709,WALLET,REFUND,SUCCESS
GATEWAY,PAY_f143262f-dc5c-4eed-8da0-365bf89897b9,ORD_20,CUS_18,MER_34,2473.81,2026-08-07 00:02:30.785085,NET_BANKING,DEPOSIT,SUCCESS
GATEWAY,PAY_1d53434b-b881-49b9-ae27-0da702f06b90,ORD_21,CUS_75,MER_55,4000.01,2026-08-30 23:33:09.500751,CARD,REFUND,SUCCESS
