order_id,merchant_id,customer_id,amount,currency,payment_method,transaction_type,timestamp,bank_txn_id,status
ORD_1,MER_82,CUS_15,238.86,INR,NET_BANKING,REFUND,2026-08-28 00:11:00.261603,UTR_093923de-8bab-4e3b-a628-6bfbe767dcea,CREDIT
ORD_2,MER_29,CUS_18,7367.35,INR,UPI,DEPOSIT,2026-08-07 13:31:13.877537,UTR_8d7248e2-951f-48d0-9e84-f058d5a804eb,CREDIT
ORD_3,MER_55,CUS_5,307.67,INR,CARD,REFUND,2026-08-15 02:06:01.993213,UTR_0ab54bde-20a0-4502-ae06-809725e97977,CREDIT
ORD_4,MER_65,CUS_78,275.09,INR,CARD,DEPOSIT,2026-08-13 12:46:28.233282,UTR_eededb07-e623-4689-9d59-cd2a4eea04e7,CREDIT
ORD_5,MER_54,CUS_29,4497.6,INR,NET_BANKING,PAYMENT,2026-08-30 21:57:19.387113,UTR_0a368ce7-dc57-4131-b8e1-daa7cbceabde,CREDIT
ORD_6,MER_98,CUS_21,6984.41,INR,NET_BANKING,TRANSFER,2026-08-27 03:05:11.071400,UTR_ae9bec36-35c7-436c-9b99-62c6e61fecc0,CREDIT
ORD_7,MER_20,CUS_28,9572.56,INR,NET_BANKING,PAYMENT,2026-09-02 14:04:55.439491,UTR_5a8aaeca-1a50-4ec3-aabc-25fa3fe12e47,CREDIT
ORD_8,MER_12,CUS_49,976.2,INR,NET_BANKING,DEPOSIT,2026-08-10 10:57:31.454175,UTR_dfed2c43-e256-46dc-8f54-86b7c7b5b2bc,CREDIT
ORD_9,MER_34,CUS_6,7260.02,INR,UPI,WITHDRAWAL,2026-08-19 11:57:47.356624,UTR_bfddc3d9-9ee3-4c2a-b94d-62046808593f,CREDIT
ORD_10,MER_11,CUS_71,2938.85,INR,NET_BANKING,DEPOSIT,2026-08-07 17:49:00.392783,UTR_3c9ad14c-ee0c-4eb5-acfe-db992790cebd,CREDIT
ORD_11,MER_25,CUS_91,704.86,INR,CARD,TRANSFER,2026-08-13 08:51:55.630691,UTR_ccc56569-f9e8-4369-a999-b735dd56cc94,CREDIT
ORD_12,MER_11,CUS_30,8666.17,INR,WALLET,TRANSFER,2026-08-21 23:14:06.906764,UTR_698c206f-e1a4-4e10-ad53-4dd0cf8ebc5a,CREDIT
ORD_13,MER_59,CUS_82,8342.76,INR,CARD,TRANSFER,2026-08-07 14:58:07.233421,UTR_ecab3301-bc8f-4d29-adea-94930658663a,CREDIT
ORD_14,MER_46,CUS_27,6705.05,INR,UPI,DEPOSIT,2026-08-12 19:11:33.190580,UTR_696608aa-ee49-4329-884a-7b28550a1b46,CREDIT
ORD_15,MER_82,CUS_22,5346.06,INR,CARD,REFUND,2026-08-26 07:53:46.462724,UTR_bc2cbb0d-dd33-4cc7-ab7f-089acd5f4822,CREDIT
ORD_16,MER_60,CUS_49,2706.78,INR,CARD,TRANSFER,2026-08-23 03:50:14.317724,UTR_28c13091-444d-410b-bf87-e362cf8d446a,CREDIT
ORD_17,MER_99,CUS_100,568.82,INR,UPI,TRANSFER,2026-08-13 10:09:48.092330,UTR_61ee411a-1bac-47a7-b386-f7a4c991603f,CREDIT
ORD_18,MER_52,CUS_35,671.22,INR,NET_BANKING,REFUND,2026-08-24 12:13:02.652606,UTR_787f2425-dbcc-4477-89e9-db0adf465290,CREDIT
ORD_19,MER_84,CUS_64,3962.36,INR,WALLET,REFUND,2026-08-31 02:23:09.743709,UTR_eb1fa9f2-d10b-41d0-b317-347038f16a81,CREDIT
ORD_20,MER_34,CUS_18,2473.81,INR,NET_BANKING,DEPOSIT,2026-08-07 00:35:30.785085,UTR_d20eac17-4e20-4d1a-9983-36e375d66ed4,CREDIT
ORD_22,MER_66,CUS_64,918.19,INR,UPI,PAYMENT,2026-08-27 18:10:23.311810,UTR_6601ddd0-3170-4437-a8f7-ef5a060edf5b,CREDIT
ORD_23,MER_20,CUS_81,1593.22,INR,WALLET,DEPOSIT,2026-08-17 01:20:35.338815,UTR_11c58ef0-dd46-4c09-8752-87aa5408f9ac,CREDIT
ORD_24,MER_9,CUS_50,3822.38,INR,WALLET,DEPOSIT,2026-08-11 11:41:28.863512,UTR_59e4b671-4774-4c58-85f8-bc16f7860b50,CREDIT
ORD_25,MER_33,CUS_71,8609.19,INR,UPI,PAYMENT,2026-09-04 13:30:22.283160,UTR_adf4e62d-6651-429e-8268-690ba43825b5,CREDIT
ORD_26,MER_88,CUS_69,7511.27,INR,NET_BANKING,PAYMENT,2026-08-16 21:47:39.060932,UTR_54c63cd8-8945-4f27-97fa-2d8dfb2ca025,CREDIT
ORD_27,MER_38,CUS_56,1590.0,INR,UPI,TRANSFER,2026-08-09 15:05:23.226041,UTR_e08596db-1d87-4966-8710-d430f071d879,CREDIT
ORD_28,MER_65,CUS_98,1794.73,INR,UPI,TRANSFER,2026-08-09 17:15:54.848752,UTR_94a1875d-2db6-4edb-82de-ffccf86c2ca2,CREDIT
ORD_29,MER_82,CUS_65,6093.61,INR,CARD,TRANSFER,2026-09-02 05:57:31.397573,UTR_09cb3942-43f5-4a85-bbc9-f87af668a617,CREDIT
ORD_30,MER_98,CUS_21,5398.4,INR,UPI,DEPOSIT,2026-08-24 22:21:43.873303,UTR_587ef344-6f3f-420c-98b8-e4cc1bc044fc,CREDIT
ORD_31,MER_42,CUS_63,204.57,INR,NET_BANKING,TRANSFER,2026-08-31 00:40:42.484327,UTR_6fb78271-504d-481f-8953-5b63ba81edd9,CREDIT
ORD_33,MER_94,CUS_63,8162.07,INR,CARD,REFUND,2026-08-22 22:20:49.213051,UTR_30a900ad-939b-462d-a645-f129629c2ae3,CREDIT
ORD_34,MER_85,CUS_61,9469.02,INR,CARD,TRANSFER,2026-09-05 00:35:22.060235,UTR_6fa17735-b572-43d0-8b5c-ea6a41357e8c,CREDIT
ORD_35,MER_68,CUS_78,4237.15,INR,CARD,DEPOSIT,2026-08-18 04:40:27.105724,UTR_ce777f00-ecf2-4e76-8519-7ff4006ed6e3,CREDIT
ORD_36,MER_97,CUS_94,6901.78,INR,NET_BANKING,WITHDRAWAL,2026-08-23 09:09:55.316260,UTR_f0b5156b-b82c-4074-afd5-dea589d7fd6c,CREDIT
ORD_37,MER_86,CUS_84,3740.47,INR,WALLET,PAYMENT,2026-08-31 17:12:02.889744,UTR_3270e4fa-abae-4f43-bcae-8081bdf070aa,CREDIT
ORD_38,MER_32,CUS_29,649.62,INR,UPI,DEPOSIT,2026-08-26 09:33:49.198128,UTR_f2e9702d-11e9-4daa-ae69-81a35d3d9e56,CREDIT
ORD_39,MER_71,CUS_30,5888.52,INR,UPI,PAYMENT,2026-09-01 16:29:30.285605,UTR_9f871ce7-5487-4d4f-abb7-a385aa0b7b14,CREDIT
ORD_40,MER_91,CUS_81,598.15,INR,UPI,PAYMENT,2026-08-24 03:37:22.760505,UTR_1fe771d6-d917-4793-a9d3-c2e6505cc686,CREDIT
ORD_41,MER_43,CUS_10,5146.42,INR,NET_BANKING,WITHDRAWAL,2026-08-27 22:40:16.199469,UTR_81d2c7de-4ce1-4b90-a669-7833b841d0a0,CREDIT
ORD_42,MER_28,CUS_70,1331.8,INR,WALLET,REFUND,2026-08-08 05:04:22.802435,UTR_5380b904-688c-4015-aab9-7e494f2d4796,CREDIT
ORD_43,MER_61,CUS_53,1862.2,INR,UPI,WITHDRAWAL,2026-08-13 16:19:58.330489,UTR_8dedf9fb-4bb0-4f20-b27c-40266703b636,CREDIT
ORD_44,MER_46,CUS_55,4116.91,INR,UPI,PAYMENT,2026-08-15 12:19:19.601657,UTR_aa38d0a1-6ba2-4efe-b11c-6eb62095eef6,CREDIT
ORD_45,MER_8,CUS_52,7284.85,INR,UPI,REFUND,2026-08-09 05:08:46.804186,UTR_bf85bf0e-ad64-456c-a10f-aa3ff0bbac67,CREDIT
ORD_46,MER_25,CUS_25,5367.49,INR,CARD,WITHDRAWAL,2026-08-13 19:58:19.977448,UTR_91b0e1d9-9d92-42af-ac8d-0e44e71e43a6,CREDIT
ORD_47,MER_24,CUS_36,4631.65,INR,UPI,WITHDRAWAL,2026-08-09 20:48:01.705030,UTR_d56f0350-8c45-4ce2-a7f4-8ad54d0b0d1a,CREDIT
ORD_48,MER_71,CUS_13,515.38,INR,UPI,PAYMENT,2026-08-15 03:37:13.579261,UTR_35ce8841-4973-4d6c-8dca-bfb7001a9a8b,CREDIT
ORD_50,MER_28,CUS_52,9025.4,INR,CARD,WITHDRAWAL,2026-08-17 18:11:31.007890,UTR_7118e364-7709-4749-927e-ecfaa79ac9aa,CREDIT
ORD_51,MER_1,CUS_50,2659.38,INR,WALLET,TRANSFER,2026-08-17 22:10:35.066767,UTR_82dc4c8e-36b5-429a-acf5-e81e71316269,CREDIT
ORD_52,MER_55,CUS_90,9573.6,INR,WALLET,REFUND,2026-08-13 02:20:28.223760,UTR_f5b78cc7-e6b3-4944-8b32-3e357922bac2,CREDIT
ORD_53,MER_25,CUS_38,2151.83,INR,UPI,DEPOSIT,2026-08-14 20:32:12.514751,UTR_a8aa7158-2b70-4525-bc67-f831cbc84759,CREDIT
ORD_54,MER_95,CUS_70,618.97,INR,NET_BANKING,PAYMENT,2026-09-03 21:52:14.691351,UTR_a9f25336-83f4-49a9-88a6-39d015b52908,CREDIT
ORD_55,MER_7,CUS_75,4773.12,INR,CARD,PAYMENT,2026-08-26 06:44:53.718559,UTR_17e8392a-55ce-45db-9e87-e04ca2086977,CREDIT
ORD_56,MER_66,CUS_11,8514.91,INR,UPI,DEPOSIT,2026-08-25 02:32:13.566689,UTR_3c20592f-c04a-46c4-b3b6-3fe1d1843324,CREDIT
ORD_57,MER_9,CUS_87,8619.57,INR,WALLET,PAYMENT,2026-08-11 22:44:57.376129,UTR_ce7ae7f6-3982-4cff-8f77-a665ac3c5640,CREDIT
ORD_58,MER_73,CUS_32,5793.4,INR,UPI,DEPOSIT,2026-08-28 16:38:02.660287,UTR_0bd4a990-0640-4e0f-a5b8-fd4b32fa2de8,CREDIT
