order_id,merchant_id,customer_id,amount,currency,payment_method,transaction_type,timestamp,gateway_txn_id,status
ORD_1,MER_82,CUS_15,259.86,INR,NET_BANKING,REFUND,2026-08-25 23:45:00.261603,PAY_b02b61c4-a3d7-4628-ace6-6fa2fd5166e6,SUCCESS
ORD_2,MER_29,CUS_18,7367.35,INR,UPI,DEPOSIT,2026-08-07 13:22:13.877537,PAY_5304317f-af42-412f-b838-b3268e944239,SUCCESS
ORD_3,MER_55,CUS_5,307.67,INR,CARD,REFUND,2026-08-15 01:23:01.993213,PAY_0e51f30d-c6a7-4e39-84b0-32ccd7c524a5,SUCCESS
ORD_4,MER_65,CUS_78,275.09,INR,CARD,DEPOSIT,2026-08-13 12:04:28.233282,PAY_ce177b4e-0837-48a3-9261-a7ab3aa2e4f9,SUCCESS
ORD_5,MER_54,CUS_29,4497.6,INR,NET_BANKING,PAYMENT,2026-08-28 21:37:19.387113,PAY_10f1bc81-448a-4a9e-a6b2-bc5b50c187fc,SUCCESS
ORD_6,MER_98,CUS_21,6984.41,INR,NET_BANKING,TRANSFER,2026-08-27 02:35:11.071400,PAY_9132b63e-f162-47e4-a9c3-49e03602f8ac,SUCCESS
ORD_7,MER_20,CUS_28,9572.56,INR,NET_BANKING,PAYMENT,2026-09-02 13:43:55.439491,PAY_366eb16f-508e-4ad7-b7c9-3acfe059a0ee,SUCCESS
ORD_8,MER_12,CUS_49,976.2,INR,NET_BANKING,DEPOSIT,2026-08-09 09:57:31.454175,PAY_e27a984d-6548-41d0-bfcd-9eb1a7cad415,SUCCESS
ORD_9,MER_34,CUS_6,7300.02,INR,UPI,WITHDRAWAL,2026-08-19 11:08:47.356624,PAY_24933b83-7577-40a9-a491-f0b2ea1fca65,SUCCESS
ORD_10,MER_11,CUS_71,2938.85,INR,NET_BANKING,DEPOSIT,2026-08-07 16:49:00.392783,PAY_beb79919-3f22-4af8-a3be-d01d43cf2fde,SUCCESS
ORD_11,MER_25,CUS_91,704.86,INR,DEBIT_CARD,TRANSFER,2026-08-13 08:46:55.630691,PAY_bf3c4c06-4343-48bc-89fa-6a688fb5d27b,SUCCESS
ORD_12,MER_11,CUS_30,8666.17,INR,E_WALLET,TRANSFER,2026-08-21 23:13:06.906764,PAY_956269f0-e5d7-4875-adad-d6c795a76d79,SUCCESS
