TXN_id,order_id,merchant_id,customer_id,amount,currency,payment_method,transaction_type,timestamp
TXN_1,ORD_1,MER_82,CUS_15,259.86,INR,NET_BANKING,REFUND,2026-08-25 23:45:00.261603
TXN_2,ORD_2,MER_29,CUS_18,7367.35,INR,UPI,DEPOSIT,2026-08-07 13:22:13.877537
TXN_3,ORD_3,MER_55,CUS_5,307.67,INR,CARD,REFUND,2026-08-15 01:23:01.993213
TXN_4,ORD_4,MER_65,CUS_78,275.09,INR,CARD,DEPOSIT,2026-08-13 12:04:28.233282
TXN_5,ORD_5,MER_54,CUS_29,4497.6,INR,NET_BANKING,PAYMENT,2026-08-28 21:37:19.387113
TXN_6,ORD_6,MER_98,CUS_21,6984.41,INR,NET_BANKING,TRANSFER,2026-08-27 02:35:11.071400
TXN_7,ORD_7,MER_20,CUS_28,9572.56,INR,NET_BANKING,PAYMENT,2026-09-02 13:43:55.439491
TXN_8,ORD_8,MER_12,CUS_49,976.2,INR,NET_BANKING,DEPOSIT,2026-08-09 09:57:31.454175
TXN_9,ORD_9,MER_34,CUS_6,7300.02,INR,UPI,WITHDRAWAL,2026-08-19 11:08:47.356624
TXN_10,ORD_10,MER_11,CUS_71,2938.85,INR,NET_BANKING,DEPOSIT,2026-08-07 16:49:00.392783
TXN_11,ORD_11,MER_25,CUS_91,704.86,INR,CARD,TRANSFER,2026-08-13 08:46:55.630691
TXN_12,ORD_12,MER_11,CUS_30,8666.17,INR,WALLET,TRANSFER,2026-08-21 23:13:06.906764
TXN_13,ORD_13,MER_59,CUS_82,8342.76,INR,CARD,TRANSFER,2026-08-07 14:28:07.233421
TXN_14,ORD_14,MER_46,CUS_27,6705.05,INR,UPI,DEPOSIT,2026-08-12 18:31:33.190580
TXN_15,ORD_15,MER_82,CUS_22,5346.06,INR,CARD,REFUND,2026-08-26 07:16:46.462724
TXN_16,ORD_16,MER_60,CUS_49,2706.78,INR,CARD,TRANSFER,2026-08-23 03:43:14.317724
TXN_17,ORD_17,MER_99,CUS_100,568.82,INR,UPI,TRANSFER,2026-08-13 10:04:48.092330
TXN_18,ORD_18,MER_52,CUS_35,671.22,INR,NET_BANKING,REFUND,2026-08-24 11:38:02.652606
TXN_19,ORD_19,MER_84,CUS_64,3962.36,INR,WALLET,REFUND,2026-08-31 02:09:09.743709
TXN_20,ORD_20,MER_34,CUS_18,2473.81,INR,NET_BANKING,DEPOSIT,2026-08-07 00:02:30.785085
TXN_21,ORD_21,MER_55,CUS_75,4000.01,INR,CARD,REFUND,2026-08-30 23:33:09.500751
TXN_22,ORD_22,MER_66,CUS_64,918.19,INR,UPI,PAYMENT,2026-08-27 18:01:23.311810
TXN_23,ORD_23,MER_20,CUS_81,1608.22,INR,WALLET,DEPOSIT,2026-08-17 00:20:35.338815
TXN_24,ORD_24,MER_9,CUS_50,3822.38,INR,WALLET,DEPOSIT,2026-08-11 11:18:28.863512
