TXN_id,gateway_txn_id,ledger_txn_id,bank_txn_id
TXN_1,PAY_b02b61c4-a3d7-4628-ace6-6fa2fd5166e6,LED_a748dbcf-ac61-4e63-8dde-29a6baa4b71a,UTR_093923de-8bab-4e3b-a628-6bfbe767dcea
TXN_2,PAY_5304317f-af42-412f-b838-b3268e944239,LED_0f844fef-1931-49ee-a56c-0941fbf24050,UTR_8d7248e2-951f-48d0-9e84-f058d5a804eb
TXN_3,PAY_0e51f30d-c6a7-4e39-84b0-32ccd7c524a5,LED_ccf3a171-56dc-4907-ba6c-34ab6712303a,UTR_0ab54bde-20a0-4502-ae06-809725e97977
TXN_3,PAY_0e51f30d-c6a7-4e39-84b0-32ccd7c524a5_DUP,LED_ccf3a171-56dc-4907-ba6c-34ab6712303a,UTR_0ab54bde-20a0-4502-ae06-809725e97977
TXN_4,PAY_ce177b4e-0837-48a3-9261-a7ab3aa2e4f9,,UTR_eededb07-e623-4689-9d59-cd2a4eea04e7
TXN_5,PAY_10f1bc81-448a-4a9e-a6b2-bc5b50c187fc,LED_23e2fcb4-72d8-467d-894a-05e430b187ef,UTR_0a368ce7-dc57-4131-b8e1-daa7cbceabde
TXN_6,PAY_9132b63e-f162-47e4-a9c3-49e03602f8ac,LED_766ecb15-474e-4c19-aef9-12766c006f61,UTR_ae9bec36-35c7-436c-9b99-62c6e61fecc0
TXN_7,PAY_366eb16f-508e-4ad7-b7c9-3acfe059a0ee,LED_134c6c92-ec5b-427c-9fde-4fbf3ff350bf,UTR_5a8aaeca-1a50-4ec3-aabc-25fa3fe12e47
TXN_8,PAY_e27a984d-6548-41d0-bfcd-9eb1a7cad415,LED_db20a56e-dc81-4fe7-8eda-8bbb71710434,UTR_dfed2c43-e256-46dc-8f54-86b7c7b5b2bc
TXN_9,PAY_24933b83-7577-40a9-a491-f0b2ea1fca65,LED_a6f2f7b8-0cf3-4b58-9910-8be58ce21ea3,UTR_bfddc3d9-9ee3-4c2a-b94d-62046808593f
TXN_9,PAY_24933b83-7577-40a9-a491-f0b2ea1fca65_DUP,LED_a6f2f7b8-0cf3-4b58-9910-8be58ce21ea3,UTR_bfddc3d9-9ee3-4c2a-b94d-62046808593f
TXN_10,PAY_beb79919-3f22-4af8-a3be-d01d43cf2fde,LED_03c72ba8-d605-4770-8a63-f881ffd0f9d5,UTR_3c9ad14c-ee0c-4eb5-acfe-db992790cebd
TXN_11,PAY_bf3c4c06-4343-48bc-89fa-6a688fb5d27b,LED_c0e9ab30-ed26-42e9-97e0-11b7f8102383,UTR_ccc56569-f9e8-4369-a999-b735dd56cc94
TXN_12,PAY_956269f0-e5d7-4875-adad-d6c795a76d79,LED_680ac07a-2a93-4d62-bc83-5dc0d9441fa5,UTR_698c206f-e1a4-4e10-ad53-4dd0cf8ebc5a
TXN_13,PAY_ff50bde4-3825-47b8-9cab-cc97663f1c97,LED_dd59ba71-36b8-4481-bb3a-4e3e7c52fa17,UTR_ecab3301-bc8f-4d29-adea-94930658663a
TXN_14,,LED_2a25a888-0f02-4ad0-a706-7ef466aa9385,UTR_696608aa-ee49-4329-884a-7b28550a1b46
TXN_15,PAY_dc713d96-0c0f-4195-817a-f08a1745d6d8,LED_63f2ae24-fc3d-4348-808d-4127610461e3,UTR_bc2cbb0d-dd33-4cc7-ab7f-089acd5f4822
TXN_16,PAY_28f49481-a0a0-4dc4-a720-9bdf1c11f735,LED_c8fe3ccd-c8b8-49c6-ad30-49cf43e458fc,UTR_28c13091-444d-410b-bf87-e362cf8d446a
TXN_17,PAY_98ae4334-6c12-4ce8-ae34-0454cac5b68c,LED_b253d218-6c4a-47ea-8906-17f2747b6dba,UTR_61ee411a-1bac-47a7-b386-f7a4c991603f
TXN_18,PAY_988c24c9-61b1-4d22-a280-1c4510435a10,,UTR_787f2425-dbcc-4477-89e9-db0adf465290
TXN_19,PAY_405cacec-8774-49a9-b7d2-1e02ff01cf99,LED_7c967f79-b7e9-4aca-a970-65e18e46d534,UTR_eb1fa9f2-d10b-41d0-b317-347038f16a81
TXN_20,PAY_f143262f-dc5c-4eed-8da0-365bf89897b9,LED_37bb3eec-4bf5-4b52-b09d-258c27a0c3d7,UTR_d20eac17-4e20-4d1a-9983-36e375d66ed4
TXN_21,PAY_1d53434b-b881-49b9-ae27-0da702f06b90,LED_bc594585-9445-48c0-8ef8-c2d6f7fd5646,
TXN_21,PAY_1d53434b-b881-49b9-ae27-0da702f06b90_DUP,LED_bc594585-9445-48c0-8ef8-c2d6f7fd5646,
TXN_22,,LED_504867ba-bf7b-439b-8f9a-ea4b8acd4e10,UTR_6601ddd0-3170-4437-a8f7-ef5a060edf5b
TXN_23,PAY_5715bd6f-a416-4293-84c2-e2e3444ea7c8,LED_7a0ecfea-958c-49ba-8cd6-20c20ea2622b,UTR_11c58ef0-dd46-4c09-8752-87aa5408f9ac
TXN_24,PAY_287d06ca-6f4c-469a-8b22-d3081c8eaee9,LED_87f7e1fb-da4b-49ca-ab5c-f46780bacd64,UTR_59e4b671-4774-4c58-85f8-bc16f7860b50
TXN_25,PAY_b8db0672-f42d-47cc-80d4-af5974273ca3,LED_82010c62-f5f5-4b22-8e8f-a8e0284d82e5,UTR_adf4e62d-6651-429e-8268-690ba43825b5
TXN_26,PAY_f8cda88b-436d-46e2-b83c-fe0be037e5ed,LED_118a9d29-2f92-4996-99f1-95d014822f53,UTR_54c63cd8-8945-4f27-97fa-2d8dfb2ca025
TXN_27,PAY_81f76d1c-2dbc-4134-830f-f46e8026695f,LED_dca02eec-acda-4acc-9165-e21098543881,UTR_e08596db-1d87-4966-8710-d430f071d879
TXN_28,PAY_a013ac6e-deda-4e16-9b3d-bd5ce9a1fa6f,LED_f10c718b-1eb0-438a-a75d-d5af3c365296,UTR_94a1875d-2db6-4edb-82de-ffccf86c2ca2
TXN_29,PAY_81f631d4-a392-41a7-9777-a4774c66e0a8,LED_94340a03-3f07-4814-91d6-3f78e3e9de99,UTR_09cb3942-43f5-4a85-bbc9-f87af668a617
TXN_30,PAY_5fb8d16c-2720-497d-b2eb-d6899be578c7,LED_14fcdd54-9e8f-4965-8a2c-827e98326856,UTR_587ef344-6f3f-420c-98b8-e4cc1bc044fc
TXN_31,PAY_f4188f3f-8a14-4e62-a95b-4715c333e861,LED_90b2b633-956b-4c0c-a849-9b926b5252e3,UTR_6fb78271-504d-481f-8953-5b63ba81edd9
TXN_32,PAY_eb2263dd-87c5-421e-ac24-a3c5c754108f,LED_42c18a62-ef48-48d5-90fd-9d3f85d51695,
TXN_33,PAY_7d154385-52fb-443b-9954-6eb400257ad1,LED_506e5a9a-b758-488d-ab73-295b344a54b8,UTR_30a900ad-939b-462d-a645-f129629c2ae3
TXN_34,PAY_5cec4eb5-edd9-4831-9ca3-5cfb04fc6d82,,UTR_6fa17735-b572-43d0-8b5c-ea6a41357e8c
TXN_35,PAY_ce88cb2d-d4e8-4839-bc3e-058be0f3eab0,,UTR_ce777f00-ecf2-4e76-8519-7ff4006ed6e3
TXN_36,PAY_3da9c2a9-0ed4-4f1a-bd4c-bf374eb93eff,LED_ef8c485b-c07a-40f2-add4-253b50f0fd0a,UTR_f0b5156b-b82c-4074-afd5-dea589d7fd6c
TXN_37,PAY_14296c07-f26b-4776-913e-4de2e0c53cb8,LED_9f044aed-7552-4327-8262-7f7312922f83,UTR_3270e4fa-abae-4f43-bcae-8081bdf070aa
TXN_38,PAY_d0e6e660-7c69-4ee1-bb5e-4bcf15ed6269,LED_19985f15-ff00-4d4d-9020-59e4ff9ab5c2,UTR_f2e9702d-11e9-4daa-ae69-81a35d3d9e56
TXN_39,PAY_885f6e66-c2b6-42c5-ba5d-310011b7e948,LED_8181a8cc-3691-47eb-89a2-688b12c136e0,UTR_9f871ce7-5487-4d4f-abb7-a385aa0b7b14
TXN_40,PAY_a8e56e0c-20de-435d-a031-d750c40db9b4,LED_5958a499-eeea-463e-a1e8-ac6843e42caf,UTR_1fe771d6-d917-4793-a9d3-c2e6505cc686
TXN_41,PAY_2a45c2ab-8cbf-4db0-b264-accc79ac1b1e,LED_3e896c64-e117-4ac3-919c-4ea3e1805081,UTR_81d2c7de-4ce1-4b90-a669-7833b841d0a0
TXN_42,PAY_9b49bd26-df57-459a-8715-a10343dac043,LED_702cdd20-2862-48b8-88f4-ef125e9953d2,UTR_5380b904-688c-4015-aab9-7e494f2d4796
TXN_43,PAY_edcd465e-3638-4821-b6e0-7cc06c52c49f,LED_4d71c366-b41b-4143-8b10-550cd5704f32,UTR_8dedf9fb-4bb0-4f20-b27c-40266703b636
TXN_44,,LED_ce9e1a11-fcbb-4e59-bbdd-cf7c9c96e9ec,UTR_aa38d0a1-6ba2-4efe-b11c-6eb62095eef6
TXN_45,PAY_66245bfa-4fcc-439a-b683-d2e6337ea2df,LED_aaf91531-0200-41f0-8768-a84fa76afde6,UTR_bf85bf0e-ad64-456c-a10f-aa3ff0bbac67
TXN_46,,LED_ee87905e-4ca4-45ea-8dfa-6a56d12dbc9a,UTR_91b0e1d9-9d92-42af-ac8d-0e44e71e43a6
TXN_47,PAY_7394988f-847f-49b4-a64d-1bcb702753a1,LED_e0ccedc5-f05d-476e-9a84-a51aa9d3d7c7,UTR_d56f0350-8c45-4ce2-a7f4-8ad54d0b0d1a
TXN_48,PAY_1064005c-3985-43cf-bf76-be1d1efa2197,LED_e3c43657-1d8c-4bac-83b4-09ef2260e70f,UTR_35ce8841-4973-4d6c-8dca-bfb7001a9a8b
TXN_49,PAY_8dcdcd03-969b-4662-8562-8059568cc69b,LED_27cb6f2a-8da0-4097-be0f-051b1b66b5a9,
TXN_50,PAY_01d74256-3860-4ab6-96a4-02f23ae8cc93,LED_35ebd32d-9ad6-40ab-8821-2ddb45b89cd9,UTR_7118e364-7709-4749-927e-ecfaa79ac9aa
TXN_51,PAY_0f1259e0-a18f-46b6-b535-106e122c9a56,LED_afffcfd2-341e-440b-97c7-00aab7b56ea7,UTR_82dc4c8e-36b5-429a-acf5-e81e71316269
TXN_52,PAY_080aadfb-e7c9-4b26-9141-25c63a9bedd4,LED_81627cf1-4394-42e6-9a58-7e8aa25d6b29,UTR_f5b78cc7-e6b3-4944-8b32-3e357922bac2
TXN_53,PAY_839fbc50-1223-4513-9496-f63cdc1110c1,LED_e87d1c78-e7c4-41c7-8049-7b717d106c60,UTR_a8aa7158-2b70-4525-bc67-f831cbc84759
