transaction_id,source,issue,details
PAY_5f987c71-a65e-488e-abf3-ad39fec21bbe,GATEWAY,MISSING_RECORD,
PAY_c0398710-8976-4334-a281-7efdae849217,GATEWAY,MISSING_RECORD,
PAY_7e570ddf-8270-40a8-a369-b584ff5e9ff0,GATEWAY,MISSING_RECORD,
PAY_b09b2a5c-badc-432a-8159-0f538a0f4efb,GATEWAY,MISSING_RECORD,
LED_750cab75-4ccc-4bc2-a53f-8a28abf3e3fc,LEDGER,MISSING_RECORD,
LED_21813d25-6552-48a6-83ff-50113d1a85dd,LEDGER,MISSING_RECORD,
LED_c88a618e-fed4-457d-bb02-6576f512c4c3,LEDGER,MISSING_RECORD,
LED_1ca3c448-0279-46a6-8f97-97b06d7ce3c9,LEDGER,MISSING_RECORD,
LED_310c0c00-3fa7-4104-9bf9-0e27dc96925e,LEDGER,MISSING_RECORD,
UTR_9b4e2c24-9479-41e6-8927-7d9b6e0d2648,BANK,MISSING_RECORD,
UTR_1d9af659-82ec-4f2d-bbf6-e16f9b3080d5,BANK,MISSING_RECORD,
UTR_39118497-3a43-42ba-9f0f-06cbcb9bc326,BANK,MISSING_RECORD,
UTR_093923de-8bab-4e3b-a628-6bfbe767dcea,BANK,AMOUNT_MISMATCH,BANK fee = 21
UTR_11c58ef0-dd46-4c09-8752-87aa5408f9ac,BANK,AMOUNT_MISMATCH,BANK fee = 15
UTR_a8aa7158-2b70-4525-bc67-f831cbc84759,BANK,AMOUNT_MISMATCH,BANK fee = 33
UTR_bfddc3d9-9ee3-4c2a-b94d-62046808593f,BANK,AMOUNT_MISMATCH,BANK fee = 40
UTR_8dedf9fb-4bb0-4f20-b27c-40266703b636,BANK,AMOUNT_MISMATCH,BANK fee = 50
UTR_09cb3942-43f5-4a85-bbc9-f87af668a617,BANK,TIMESTAMP_DRIFT,Bank timestamp shifted by 1 day(s)
UTR_f2e9702d-11e9-4daa-ae69-81a35d3d9e56,BANK,TIMESTAMP_DRIFT,Bank timestamp shifted by 1 day(s)
UTR_093923de-8bab-4e3b-a628-6bfbe767dcea,BANK,TIMESTAMP_DRIFT,Bank timestamp shifted by 2 day(s)
UTR_dfed2c43-e256-46dc-8f54-86b7c7b5b2bc,BANK,TIMESTAMP_DRIFT,Bank timestamp shifted by 1 day(s)
UTR_0a368ce7-dc57-4131-b8e1-daa7cbceabde,BANK,TIMESTAMP_DRIFT,Bank timestamp shifted by 2 day(s)
PAY_24933b83-7577-40a9-a491-f0b2ea1fca65,GATEWAY,DUPLICATE_ENTRY,Duplicate GATEWAY id = PAY_24933b83-7577-40a9-a491-f0b2ea1fca65_DUP
PAY_0e51f30d-c6a7-4e39-84b0-32ccd7c524a5,GATEWAY,DUPLICATE_ENTRY,Duplicate GATEWAY id = PAY_0e51f30d-c6a7-4e39-84b0-32ccd7c524a5_DUP
PAY_1d53434b-b881-49b9-ae27-0da702f06b90,GATEWAY,DUPLICATE_ENTRY,Duplicate GATEWAY id = PAY_1d53434b-b881-49b9-ae27-0da702f06b90_DUP
ORPHAN_PAY_935f2b0a-a138-4ddc-a2d9-de5d6a18ce4c,GATEWAY,ORPHAN_RECORD,Transaction does not exist in Ground Truth
ORPHAN_PAY_664fa663-7e8f-4095-a24c-69b6b24445a7,GATEWAY,ORPHAN_RECORD,Transaction does not exist in Ground Truth
ORPHAN_PAY_e4855aa1-016b-4287-b008-05cca7f36ae9,GATEWAY,ORPHAN_RECORD,Transaction does not exist in Ground Truth
PAY_dd2467ac-778e-4db3-a93d-ffbc6c6fa611,GATEWAY,FIELD_VARIATION,"Original Method = CARD , New Method = DEBIT_CARD"
PAY_bf3c4c06-4343-48bc-89fa-6a688fb5d27b,GATEWAY,FIELD_VARIATION,"Original Method = CARD , New Method = DEBIT_CARD"
PAY_93829b43-922f-415a-a1e3-db63ef7ddc76,GATEWAY,FIELD_VARIATION,"Original Method = UPI , New Method = UPI_PAYMENT"
PAY_956269f0-e5d7-4875-adad-d6c795a76d79,GATEWAY,FIELD_VARIATION,"Original Method = WALLET , New Method = E_WALLET"
