order_id,merchant_id,customer_id,amount,currency,payment_method,transaction_type,timestamp,ledger_txn_id,status
ORD_1,MER_82,CUS_15,259.86,INR,NET_BANKING,REFUND,2026-08-25 23:45:00.261603,LED_a748dbcf-ac61-4e63-8dde-29a6baa4b71a,POSTED
ORD_2,MER_29,CUS_18,7367.35,INR,UPI,DEPOSIT,2026-08-07 13:22:13.877537,LED_0f844fef-1931-49ee-a56c-0941fbf24050,POSTED
ORD_3,MER_55,CUS_5,307.67,INR,CARD,REFUND,2026-08-15 01:23:01.993213,LED_ccf3a171-56dc-4907-ba6c-34ab6712303a,POSTED
ORD_5,MER_54,CUS_29,4497.6,INR,NET_BANKING,PAYMENT,2026-08-28 21:37:19.387113,LED_23e2fcb4-72d8-467d-894a-05e430b187ef,POSTED
ORD_6,MER_98,CUS_21,6984.41,INR,NET_BANKING,TRANSFER,2026-08-27 02:35:11.071400,LED_766ecb15-474e-4c19-aef9-12766c006f61,POSTED
ORD_7,MER_20,CUS_28,9572.56,INR,NET_BANKING,PAYMENT,2026-09-02 13:43:55.439491,LED_134c6c92-ec5b-427c-9fde-4fbf3ff350bf,POSTED
ORD_8,MER_12,CUS_49,976.2,INR,NET_BANKING,DEPOSIT,2026-08-09 09:57:31.454175,LED_db20a56e-dc81-4fe7-8eda-8bbb71710434,POSTED
ORD_9,MER_34,CUS_6,7300.02,INR,UPI,WITHDRAWAL,2026-08-19 11:08:47.356624,LED_a6f2f7b8-0cf3-4b58-9910-8be58ce21ea3,POSTED
ORD_10,MER_11,CUS_71,2938.85,INR,NET_BANKING,DEPOSIT,2026-08-07 16:49:00.392783,LED_03c72ba8-d605-4770-8a63-f881ffd0f9d5,POSTED
ORD_11,MER_25,CUS_91,704.86,INR,CARD,TRANSFER,2026-08-13 08:46:55.630691,LED_c0e9ab30-ed26-42e9-97e0-11b7f8102383,POSTED
ORD_12,MER_11,CUS_30,8666.17,INR,WALLET,TRANSFER,2026-08-21 23:13:06.906764,LED_680ac07a-2a93-4d62-bc83-5dc0d9441fa5,POSTED
ORD_13,MER_59,CUS_82,8342.76,INR,CARD,TRANSFER,2026-08-07 14:28:07.233421,LED_dd59ba71-36b8-4481-bb3a-4e3e7c52fa17,POSTED
ORD_14,MER_46,CUS_27,6705.05,INR,UPI,DEPOSIT,2026-08-12 18:31:33.190580,LED_2a25a888-0f02-4ad0-a706-7ef466aa9385,POSTED
ORD_15,MER_82,CUS_22,5346.06,INR,CARD,REFUND,2026-08-26 07:16:46.462724,LED_63f2ae24-fc3d-4348-808d-4127610461e3,POSTED
ORD_16,MER_60,CUS_49,2706.78,INR,CARD,TRANSFER,2026-08-23 03:43:14.317724,LED_c8fe3ccd-c8b8-49c6-ad30-49cf43e458fc,POSTED
ORD_17,MER_99,CUS_100,568.82,INR,UPI,TRANSFER,2026-08-13 10:04:48.092330,LED_b253d218-6c4a-47ea-8906-17f2747b6dba,POSTED
ORD_19,MER_84,CUS_64,3962.36,INR,WALLET,REFUND,2026-08-31 02:09:09.743709,LED_7c967f79-b7e9-4aca-a970-65e18e46d534,POSTED
ORD_20,MER_34,CUS_18,2473.81,INR,NET_BANKING,DEPOSIT,2026-08-07 00:02:30.785085,LED_37bb3eec-4bf5-4b52-b09d-258c27a0c3d7,POSTED
ORD_21,MER_55,CUS_75,4000.01,INR,CARD,REFUND,2026-08-30 23:33:09.500751,LED_bc594585-9445-48c0-8ef8-c2d6f7fd5646,POSTED
ORD_22,MER_66,CUS_64,918.19,INR,UPI,PAYMENT,2026-08-27 18:01:23.311810,LED_504867ba-bf7b-439b-8f9a-ea4b8acd4e10,POSTED
ORD_23,MER_20,CUS_81,1608.22,INR,WALLET,DEPOSIT,2026-08-17 00:20:35.338815,LED_7a0ecfea-958c-49ba-8cd6-20c20ea2622b,POSTED
ORD_24,MER_9,CUS_50,3822.38,INR,WALLET,DEPOSIT,2026-08-11 11:18:28.863512,LED_87f7e1fb-da4b-49ca-ab5c-f46780bacd64,POSTED
ORD_25,MER_33,CUS_71,8609.19,INR,UPI,PAYMENT,2026-09-04 12:33:22.283160,LED_82010c62-f5f5-4b22-8e8f-a8e0284d82e5,POSTED
ORD_26,MER_88,CUS_69,7511.27,INR,NET_BANKING,PAYMENT,2026-08-16 21:42:39.060932,LED_118a9d29-2f92-4996-99f1-95d014822f53,POSTED
ORD_27,MER_38,CUS_56,1590.0,INR,UPI,TRANSFER,2026-08-09 14:08:23.226041,LED_dca02eec-acda-4acc-9165-e21098543881,POSTED
ORD_28,MER_65,CUS_98,1794.73,INR,UPI,TRANSFER,2026-08-09 16:59:54.848752,LED_f10c718b-1eb0-438a-a75d-d5af3c365296,POSTED
