root,members,num_sources,sources,status,missing_source
LEDGER_62,"['BANK_117', 'GATEWAY_0', 'LEDGER_62']",3,"{'BANK', 'LEDGER', 'GATEWAY'}",FULLY_MATCHED,
LEDGER_63,"['BANK_118', 'GATEWAY_1', 'LEDGER_63']",3,"{'BANK', 'LEDGER', 'GATEWAY'}",FULLY_MATCHED,
LEDGER_64,"['BANK_119', 'LEDGER_64']",2,"{'BANK', 'LEDGER'}",MISSING_FROM_ONE_SOURCE,GATEWAY
GATEWAY_3,"['BANK_120', 'GATEWAY_3']",2,"{'BANK', 'GATEWAY'}",MISSING_FROM_ONE_SOURCE,LEDGER
LEDGER_65,"['BANK_121', 'GATEWAY_4', 'LEDGER_65']",3,"{'BANK', 'LEDGER', 'GATEWAY'}",FULLY_MATCHED,
LEDGER_66,"['BANK_122', 'GATEWAY_5', 'LEDGER_66']",3,"{'BANK', 'LEDGER', 'GATEWAY'}",FULLY_MATCHED,
LEDGER_67,"['BANK_123', 'GATEWAY_6', 'LEDGER_67']",3,"{'BANK', 'LEDGER', 'GATEWAY'}",FULLY_MATCHED,
LEDGER_68,"['BANK_124', 'GATEWAY_7', 'LEDGER_68']",3,"{'BANK', 'LEDGER', 'GATEWAY'}",FULLY_MATCHED,
LEDGER_69,"['BANK_125', 'LEDGER_69']",2,"{'BANK', 'LEDGER'}",MISSING_FROM_ONE_SOURCE,GATEWAY
LEDGER_70,"['BANK_126', 'GATEWAY_9', 'LEDGER_70']",3,"{'BANK', 'LEDGER', 'GATEWAY'}",FULLY_MATCHED,
LEDGER_71,"['BANK_127', 'GATEWAY_10', 'LEDGER_71']",3,"{'BANK', 'LEDGER', 'GATEWAY'}",FULLY_MATCHED,
LEDGER_72,"['BANK_128', 'GATEWAY_11', 'LEDGER_72']",3,"{'BANK', 'LEDGER', 'GATEWAY'}",FULLY_MATCHED,
LEDGER_73,"['BANK_129', 'GATEWAY_12', 'LEDGER_73']",3,"{'BANK', 'LEDGER', 'GATEWAY'}",FULLY_MATCHED,
LEDGER_74,"['BANK_130', 'LEDGER_74']",2,"{'BANK', 'LEDGER'}",MISSING_FROM_ONE_SOURCE,GATEWAY
LEDGER_75,"['BANK_131', 'GATEWAY_13', 'LEDGER_75']",3,"{'BANK', 'LEDGER', 'GATEWAY'}",FULLY_MATCHED,
LEDGER_76,"['BANK_132', 'GATEWAY_14', 'LEDGER_76']",3,"{'BANK', 'LEDGER', 'GATEWAY'}",FULLY_MATCHED,
LEDGER_77,"['BANK_133', 'GATEWAY_15', 'LEDGER_77']",3,"{'BANK', 'LEDGER', 'GATEWAY'}",FULLY_MATCHED,
GATEWAY_16,"['BANK_134', 'GATEWAY_16']",2,"{'BANK', 'GATEWAY'}",MISSING_FROM_ONE_SOURCE,LEDGER
